"accel"	"potenzacv"	"massa"
"alfa-romeo 159-berlina 159-20-jtdm-136-cv-progression"	9,9	136	1490
"alfa-romeo 159-station 159-20-jtdm-136-cv-sw-progression"	10,1	136	1540
"alfa-romeo 159-station 159-20-jtdm-sw-progression"	9	170	1540
"alfa-romeo giulietta giulietta-14-turbo-105-cv"	10,6	105	1280
"alfa-romeo giulietta giulietta-14-turbo-120-cv"	9,4	120	1280
"alfa-romeo giulietta giulietta-14-turbo-120-cv-gpl"	10,3	120	1280
"alfa-romeo giulietta giulietta-14-turbo-multiair-progression"	7,8	170	1290
"alfa-romeo giulietta giulietta-14-turbo-multiair-tct-prog"	7,7	170	1310
"alfa-romeo giulietta giulietta-16-jtdm-2-105-cv"	11,3	105	1310
"alfa-romeo giulietta giulietta-1750-tbi-quadrifoglio-verde"	6,8	235	1320
"alfa-romeo giulietta giulietta-20-jtdm-2-140-cv-progression"	9	140	1320
"alfa-romeo mito mito-13-jtdm-2-95-cv-s&s-progression"	11,6	95	1150
"alfa-romeo mito mito-13-jtdm-85-cv-s&s-progression"	12,9	85	1150
"alfa-romeo mito mito-14-105-cv-mair-s&s-progression"	10,7	105	1090
"alfa-romeo mito mito-14-70-cv-8v-progression"	12,3	70	1080
"alfa-romeo mito mito-14-78-cv-8v-s&s-upload"	12,3	77	1080
"alfa-romeo mito mito-14-t-135-cv-mair-s&s-distinctive"	8,4	135	1145
"alfa-romeo mito mito-14-t-170-cv-mair-s&s-qverde"	7,5	170	1135
"alfa-romeo mito mito-16-jtdm-2-s&s-distinctive"	9,9	120	1205
"audi a1 a1-12-tfsi-attraction"	11,7	86	1040
"audi a1 a1-14-tfsi-185-cv-s-tronic-ambition"	6,9	185	1125
"audi a1 a1-14-tfsi-attraction"	8,9	122	1100
"audi a1 a1-16-tdi-attraction"	11,4	90	1140
"audi a4-berlina a4-18-tfsi-120-cv"	10,5	120	1410
"audi a4-berlina a4-20-tdie-136-cv"	9,3	136	1485
"audi a4-berlina a4-20-tdie-163-cv"	8,4	163	1475
"audi a6-berlina a6-20-tdi"	8,7	177	1575
"audi a6-berlina a6-20-tfsi"	8,1	180	1540
"audi a6-berlina a6-20-tfsi-hybrid-tiptronic-ambiente"	7,5	245	1670
"audi a6-berlina a6-30-tdi-313-cv-quattro-tiptronic"	5,1	313	1790
"audi a6-berlina a6-30-tfsi-quattro-s-tronic"	5,5	310	1740
"audi a6-berlina s6-40-tfsi-quattro-s-tronic"	4,6	420	1895
"audi nuova-a3 a3-14-tfsi-young"	9,3	122	1175
"audi nuova-a3 a3-16-tdi-young"	10,7	105	1230
"audi nuova-a3 a3-18-tfsi-s-tronic-attraction"	7,2	180	1250
"audi nuova-a3 a3-20-tdi-attraction"	8,6	150	1280
"bentley mulsanne mulsanne"	11,6	513	2585
"bmw serie-3-berlina active-hybrid-3"	5,3	340	1655
"bmw serie-5-berlina 520d"	8,1	184	1625
"bmw serie-5-berlina 520i"	7,9	184	1595
"bmw serie-5-berlina 525d"	7	218	1645
"bmw serie-5-berlina active-hybrid-5"	5,9	340	1850
"bmw serie-5-berlina m5"	4,3	560	1870
"bmw serie-7 740i-eletta"	5,7	320	1825
"bmw serie-7 750li-xdrive-eletta"	4,8	449	2035
"bmw x6 active-hybrid-x6"	5,6	485	2450
"bmw x6 x6-xdrive30d-eletta"	7,5	245	2075
"bmw x6 x6-xdrive35i-eletta"	6,7	306	2070
"bmw x6 x6-xdrive40d-eletta"	6,5	306	2110
"bmw x6 x6-xdrive50i"	5,4	408	2190
"cadillac escalade escalade-60-v8-aut-sport-luxury-hybrid"	8,4	337	2779
"chevrolet volt volt"	9	151	1732
"citroen c1 c1-10-3p-attraction"	13,7	68	850
"citroen c1 c1-10-5p-attraction"	13,7	68	855
"citroen c3 c3-11-attraction"	16,5	60	1010
"citroen c3 c3-14-hdi-70-attraction"	13,5	68	1070
"citroen c3 c3-14-vti-95-seduction"	10,6	95	1075
"citroen c3 c3-16-e-hdi-90-airdream-cmp6-exclusive"	12,9	92	1090
"citroen c4 c4-14-vti-95-attraction"	13,2	95	1200
"citroen c4 c4-16-hdi-90-attraction"	14,4	92	1205
"citroen c4 c4-16-thp-155-cmp-6-exclusive"	8,7	156	1275
"citroen c4 c4-20-hdi-150-seduction"	9,4	150	1320
"citroen c5-berlina c5-16-hdi-115-seduction"	13,4	114	1506
"citroen c5-berlina c5-16-vti-120-cmp6-seduction-2012-6"	12,2	120	1425
"citroen c5-berlina c5-22-hdi-200-aut-exclusive-2011-2"	8,3	204	1660
"citroen c5-berlina c5-30-hdi-240-aut-exclusive-2012-6"	7,9	241	1766
"citroen c6 c6-30-v6-hdi-240-aut-exclusive-2012-3"	8,5	241	1873
"citroen ds5 ds5-hybrid4-airdream-chic"	8,6	200	1660
"corvette corvette-spider corvette-c6-62-v8-convertibile-gs"	4,3	436	1461
"ferrari california california-dct"	3,8	490	1630
"ferrari f12 f12-berlinetta-dct"	3,1	740	1630
"fiat nuova-panda panda-09-twinair-turbo-s&s-easy"	11,2	85	900
"fiat nuova-panda panda-12-pop"	14,2	69	865
