"y" "acc" "duration" "amount" "moral" "intuse"
0 "no" 24 1.51189 1 1
0 "bad" 12 0.7280797 1 1
0 "good" 18 1.04866 1 1
0 "good" 12 2.39029 1 1
0 "good" 24 1.522627 1 0
0 "good" 24 1.330893 1 1
0 "good" 36 2.395914 1 1
0 "good" 24 1.449512 1 1
0 "no" 21 0.8190896 1 0
0 "good" 10 1.456159 1 1
0 "bad" 24 1.480701 1 1
0 "bad" 10 0.6887102 1 1
0 "bad" 6 0.476524 1 1
0 "bad" 10 0.777675 1 1
0 "no" 30 4.127148 0 0
0 "bad" 36 2.965493 1 1
0 "good" 12 1.573245 1 1
0 "bad" 12 0.592076 1 1
0 "no" 12 0.6590552 1 1
0 "bad" 8 0.7229667 1 1
0 "good" 15 1.548703 1 1
0 "good" 15 1.824289 1 1
0 "good" 21 1.422414 1 0
0 "bad" 30 1.542568 1 1
0 "good" 36 1.574268 1 0
0 "good" 9 1.828891 1 0
0 "good" 27 4.403757 1 1
0 "bad" 36 3.552456 1 1
0 "good" 12 0.3159784 1 1
0 "no" 11 1.996595 1 0
0 "bad" 8 0.3885818 1 1
0 "no" 21 1.923991 1 0
0 "no" 8 0.5951438 1 0
0 "bad" 12 1.148873 1 0
0 "good" 21 0.8037509 1 0
0 "good" 24 1.369751 1 1
0 "bad" 24 1.4444 1 0
0 "bad" 48 3.876615 1 0
0 "good" 10 0.7904572 1 0
0 "no" 12 1.866727 1 0
0 "good" 24 1.214318 1 0
0 "bad" 30 2.158163 0 0
0 "good" 12 1.090586 1 0
0 "good" 6 3.456845 1 0
0 "bad" 10 0.5358339 0 1
0 "good" 10 0.8165331 1 0
0 "no" 30 2.343251 0 1
0 "good" 12 0.3487011 1 0
0 "good" 33 1.413211 1 0
0 "bad" 18 2.269625 1 0
0 "good" 15 1.709249 1 1
0 "no" 10 0.5307209 1 0
0 "good" 6 0.127823 1 0
0 "good" 12 1.803326 1 0
0 "bad" 18 1.979722 1 1
0 "good" 15 0.4908402 1 1
0 "good" 24 1.931149 1 1
0 "good" 15 0.7832991 1 1
0 "good" 6 0.4003415 0 0
0 "good" 36 1.17546 1 1
0 "bad" 6 0.5368565 1 1
0 "bad" 9 0.7919911 1 0
0 "bad" 18 3.770266 1 1
0 "no" 9 0.5818502 1 1
0 "good" 24 1.152963 1 0
0 "no" 6 0.702515 1 1
0 "bad" 6 0.1881554 1 1
0 "no" 20 2.184239 1 1
0 "good" 48 3.123993 1 1
0 "good" 12 1.822756 1 1
0 "good" 12 2.966004 1 1
0 "good" 10 0.7250119 1 0
0 "good" 9 0.7096732 1 1
0 "good" 6 0.8896479 1 1
0 "good" 27 2.616281 1 0
0 "bad" 18 1.642781 1 1
0 "bad" 21 1.494506 1 0
0 "good" 30 1.573245 1 1
0 "no" 36 2.746149 1 1
0 "good" 36 5.356805 1 1
0 "bad" 20 3.307036 1 1
0 "no" 6 0.9571384 1 1
0 "good" 24 2.066642 1 1
0 "no" 18 0.9612287 1 1
0 "bad" 42 3.215515 0 0
0 "good" 21 1.615682 1 1
0 "good" 24 2.116237 1 0
0 "good" 24 1.626419 1 1
0 "good" 6 0.3579043 1 1
0 "no" 12 1.31811 1 1
0 "good" 24 1.239372 1 1
0 "good" 12 1.250109 1 1
0 "bad" 21 1.403496 1 1
0 "no" 36 1.661187 1 0
0 "good" 36 4.629748 1 1
0 "no" 11 2.013979 1 0
0 "no" 6 0.3384752 1 0
0 "bad" 18 1.558929 1 1
0 "good" 36 2.919988 1 1
0 "bad" 36 3.799921 1 0
0 "bad" 12 1.023606 1 0
0 "good" 12 1.221988 1 0
0 "good" 12 0.3614834 1 1
0 "good" 48 4.529023 1 1
0 "no" 12 0.9499803 1 1
0 "good" 5 1.762934 1 0
0 "bad" 12 0.3195574 1 1
0 "no" 6 2.411252 1 0
0 "good" 24 0.9919063 1 0
0 "bad" 24 1.916833 1 1
0 "good" 33 3.7084 1 1
0 "no" 6 1.35339 1 1
0 "no" 24 1.269538 0 1
0 "no" 15 0.7173425 1 0
0 "no" 18 0.9898611 1 1
0 "no" 27 1.746573 1 1
0 "good" 21 1.674481 1 1
0 "good" 24 2.392335 1 1
0 "good" 15 1.135579 1 1
0 "good" 24 1.167791 1 1
0 "no" 9 1.431106 1 0
0 "no" 12 0.3584156 1 1
0 "good" 12 0.9888385 1 1
0 "no" 24 3.358165 1 0
0 "good" 6 1.077803 1 1
0 "good" 24 1.920924 1 0
0 "bad" 18 0.6334906 1 1
0 "good" 24 0.7510878 1 0
0 "no" 12 0.1733279 0 1
0 "bad" 12 1.542568 1 1
0 "no" 15 0.9433335 1 1
0 "bad" 12 1.826846 1 1
0 "bad" 6 1.054795 1 1
0 "bad" 21 1.867238 1 0
0 "no" 20 1.130978 1 1
0 "bad" 11 0.8063073 1 1
0 "no" 18 1.794123 1 1
0 "good" 24 1.365149 1 1
0 "good" 36 0.4647643 1 0
0 "no" 12 0.9678755 1 0
0 "good" 24 1.0369 1 1
0 "good" 12 0.6600778 1 1
0 "good" 24 0.7536442 1 0
0 "bad" 15 1.345209 1 1
0 "bad" 24 1.005711 1 1
0 "bad" 12 1.0369 1 1
0 "bad" 18 1.534387 1 1
0 "no" 6 0.1728166 1 1
0 "good" 12 1.110015 1 1
0 "good" 12 1.003666 1 1
0 "no" 24 0.8196009 1 1
0 "good" 9 1.95927 1 1
0 "good" 12 0.5092467 1 1
0 "good" 24 2.030851 1 1
0 "good" 30 1.192844 1 1
0 "good" 18 0.9970192 1 0
0 "good" 9 1.091097 1 0
0 "good" 24 1.565576 1 1
0 "bad" 18 0.9648077 1 0
0 "good" 18 1.727144 1 1
0 "bad" 12 0.9510029 1 1
0 "no" 15 0.4985096 1 1
0 "no" 12 1.110015 1 0
0 "no" 6 0.1753731 1 1
0 "good" 15 0.7771636 1 1
0 "good" 39 1.313509 1 1
0 "no" 18 1.149895 1 0
0 "good" 6 0.4780579 1 1
0 "good" 12 0.7168312 1 1
0 "good" 12 0.4734563 1 0
0 "bad" 18 0.9781014 1 0
0 "good" 6 0.7945476 1 1
0 "bad" 18 1.482235 1 0
0 "good" 15 0.6452503 1 1
0 "bad" 12 0.7209215 0 1
0 "good" 24 0.9464012 1 1
0 "bad" 15 1.206649 1 1
0 "no" 24 1.544613 1 1
0 "bad" 30 1.529274 1 1
0 "good" 12 0.7643813 1 0
0 "good" 12 0.4530046 1 1
0 "bad" 12 0.5639549 1 1
0 "good" 12 1.762423 0 1
0 "bad" 15 0.974011 1 1
0 "no" 18 1.866215 1 1
0 "no" 30 1.851899 1 1
0 "no" 8 1.73737 1 0
0 "good" 36 1.960804 1 1
0 "no" 24 1.21892 1 1
0 "good" 36 4.891018 1 1
0 "no" 6 0.3405204 1 0
0 "good" 24 0.7971041 0 0
0 "good" 24 1.199491 1 1
0 "good" 24 1.783386 1 1
0 "good" 11 0.5900308 1 1
0 "no" 24 1.188754 0 0
0 "no" 10 1.090074 1 1
0 "bad" 20 3.143422 0 1
0 "good" 18 1.932683 1 1
0 "good" 6 0.6155954 0 0
0 "bad" 12 1.209717 1 0
0 "bad" 13 0.4509594 1 1
0 "good" 22 0.6559875 1 0
0 "good" 15 0.7521104 1 1
0 "good" 15 0.6201971 1 1
0 "good" 11 3.695618 1 0
0 "good" 24 4.743255 1 1
0 "bad" 12 1.150918 1 1
0 "bad" 12 1.737881 1 1
0 "no" 15 0.7326813 1 1
0 "no" 6 0.5977002 1 1
0 "bad" 6 0.6641682 1 0
0 "bad" 12 1.597276 1 0
0 "good" 24 1.975121 1 0
0 "good" 6 0.3374527 1 1
0 "no" 24 2.055393 1 1
0 "no" 48 3.822418 1 1
0 "no" 6 0.6958682 1 0
0 "bad" 30 1.279764 1 0
0 "bad" 48 4.273377 0 0
0 "good" 24 3.779981 1 0
0 "bad" 12 0.4898176 1 0
0 "good" 15 0.7086506 1 1
0 "no" 12 0.8282928 1 1
0 "good" 24 0.7797201 1 0
0 "bad" 60 3.792763 1 1
0 "good" 36 4.158337 1 1
0 "bad" 18 3.172055 1 1
0 "good" 36 3.788162 1 0
0 "good" 24 0.6386035 1 0
0 "bad" 12 0.6631456 1 1
0 "no" 47 5.482071 1 0
0 "bad" 10 3.736521 1 0
0 "bad" 18 0.4427788 1 1
0 "good" 18 0.9290174 1 1
0 "no" 18 4.331153 1 1
0 "good" 12 1.191821 1 1
0 "good" 15 1.628976 1 0
0 "good" 12 0.4110787 1 1
0 "bad" 24 1.478656 1 1
0 "no" 24 3.363789 1 1
0 "good" 24 0.653431 1 1
0 "bad" 24 1.795657 1 0
0 "good" 18 0.7429071 1 1
0 "good" 18 2.348875 1 1
0 "bad" 24 3.273802 1 1
0 "good" 24 0.7035376 1 1
0 "good" 60 3.337202 1 0
0 "good" 60 5.186545 1 1
0 "good" 30 3.883773 1 1
0 "no" 24 3.281983 1 1
0 "good" 18 3.103542 1 1
0 "no" 15 0.7556894 1 1
0 "good" 30 2.316152 1 1
0 "good" 18 1.144271 1 1
0 "bad" 12 0.5025999 1 1
0 "good" 20 1.781852 1 0
0 "no" 12 0.7659153 1 1
0 "bad" 12 0.7536442 1 1
0 "bad" 6 0.3625059 1 0
0 "good" 12 1.165234 1 1
0 "good" 12 1.071668 1 1
0 "bad" 48 2.751262 1 0
0 "no" 12 0.5971889 1 0
0 "bad" 12 3.820373 1 0
0 "good" 12 1.40503 1 1
0 "good" 12 1.461784 1 0
0 "bad" 18 0.9924175 1 0
0 "no" 12 0.3619947 1 1
0 "good" 4 0.7439297 1 0
0 "good" 60 7.033331 1 0
0 "good" 24 0.6432052 1 0
0 "good" 9 0.740862 1 0
0 "bad" 6 0.6764391 1 0
0 "good" 24 1.587561 1 1
0 "no" 36 1.850877 1 1
0 "bad" 12 0.9617401 1 1
0 "bad" 6 0.2321265 1 1
0 "good" 15 0.6646794 1 1
