"Paesi" "NAT" "MOR" "CR.N" "MIG" "CR.T" "M.IN" "VEC" "N.FI" "E.P" "NU" "E.M" "V.M" "V.F"
"Austria"  9.650613  9.662970 -0.01235674   2.44663433   2.4342776  4.3  92.0 1.320000 28.10000  4.900000 27.00000 75.10000 81.00000
"Belgio" 11.167121 10.267493  0.89962793   1.57434887   2.4739768  5.3  95.0 1.610000 28.50000  4.300000 26.10000 74.80000 81.10000
"Danimarca" 12.437998 11.122802  1.31519615   1.76612055   3.0813167  4.2  80.6 1.730000 29.60000  6.700000 29.70000 74.20000 79.00000
"Finlandia" 11.151013  9.544183  1.60683000   0.65821952   2.2650495  3.6  81.4 1.740000 29.60000  4.700000 27.70000 73.80000 81.00000
"Francia" 12.590642  9.164214  3.42642783   0.84603156   4.2724594  4.8  84.3 1.770000 29.30000  4.800000 27.60000 74.90000 82.40000
"Germania"  9.387304 10.308129 -0.92082545   2.46162466   1.5407992  4.7 100.7 1.360000 28.60000  5.200000 26.90000 74.50000 80.50000
"Grecia"  9.683207  9.778141 -0.09493340   2.37333511   2.2784017  5.9 113.6 1.300000 28.70000  5.900000 26.50000 75.40000 80.40000
"Irlanda" 14.191384  8.440279  5.75110496   5.32509718  11.0762021  5.5  51.3 1.880000 30.50000  4.900000 28.20000 73.90000 79.00000
"Italia"  9.318882  9.912154 -0.59327209   1.75899969   1.1657276  5.2 124.5 1.220000 30.00000  4.800000 27.60000 76.00000 82.10000
"Lussemburgo" 12.949474  8.787143  4.16233091  10.86830847  15.0306394  2.9  75.4 1.730000 29.40000  4.800000 27.40000 74.70000 81.20000
"Paesi Bassi" 12.673878  8.885628  3.78825010   2.77003931   6.5582894  5.2  73.1 1.650000 30.30000  5.700000 27.70000 75.30000 80.50000
"Portogallo" 11.613297 10.802369  0.81092851   1.00114631   1.8120748  5.6  91.6 1.490000 28.60000  6.900000 25.80000 72.00000 79.10000
"Regno Unito" 11.766624 10.622226  1.14439741   2.75764486   3.9020423  5.8  81.9 1.680000 28.40000  5.100000 27.00000 75.00000 79.80000
"Spagna"  9.584454  9.396722  0.18773149   1.01476483   1.2024963  4.9 110.6 1.200000 30.60000  5.200000 27.50000 75.00000 82.00000
"Svezia"  9.957213 10.691022 -0.73380824   1.54664198   0.8128337  3.4  93.5 1.500000 29.80000  4.000000 29.80000 77.10000 81.90000
"UE" 10.434491  9.933697  0.50079388   1.92418678   2.4249807  5.0  97.2 1.475972 29.23620  5.096867 27.29903 74.94013 81.05716
"Albania"  0.225368  5.127122 -4.90175364  -3.80308472  -8.7048384 30.7  18.8 2.600000 28.30000  7.200000 22.90000 68.50000 75.40000
"Bielorussia"  9.208787 14.060728 -4.85194152 -10.90201554 -15.7539571 11.5  70.2 1.290000 24.90000  7.200000 22.20000 62.20000 74.00000
"Bosnia-Erzegovina" 13.104102  7.553811  5.55029105  -4.46730743   1.0829836 11.0  28.5 1.560000 26.00000  6.300000 23.30000 69.70000 75.20000
"Bulgaria"  8.806495 13.617788 -4.81129375   0.00000000  -4.8112938 14.9 101.8 1.230000 24.70000  4.300000 23.50000 68.30000 75.10000
"Cipro" 12.746465  7.568214  5.17825134  -0.79665405   4.3815973  6.0  48.6 1.840000 28.60000 12.800000 25.60000 75.30000 80.40000
"Croazia" 10.392075 11.539395 -1.14732035  -0.97080952  -2.1181299  7.7  62.5 1.380000 27.80000  5.200000 25.10000 69.90000 76.80000
"Estonia"  8.665812 12.825401 -4.15958959  -0.34663247  -4.5062221  9.6  80.6 1.240000 26.60000  3.900000 24.50000 65.50000 76.30000
